ruc,anio,gore,n_contratos,n_gores_anio
20494299161,2022,CUSCO,1,1
20523071042,2022,CUSCO,1,1
20525716342,2022,CUSCO,8,1
20527164207,2022,CUSCO,1,1
20564059171,2022,CUSCO,1,1
20601338361,2022,CUSCO,1,1
20601665591,2022,CUSCO,1,1
20335343701,2022,HUANCAVELICA,1,1
20392986601,2022,HUANCAVELICA,1,1
20486960401,2022,HUANCAVELICA,1,4
20486974886,2022,HUANCAVELICA,2,1
20506003351,2022,HUANCAVELICA,1,2
20568355041,2022,HUANCAVELICA,1,1
20600180771,2022,HUANCAVELICA,1,2
20601593476,2022,HUANCAVELICA,1,1
20606820993,2022,HUANCAVELICA,1,1
20608145088,2022,HUANCAVELICA,1,1
20226217003,2022,HUANUCO,1,1
20482474587,2022,HUANUCO,1,1
20486834529,2022,HUANUCO,4,2
20489532981,2022,HUANUCO,2,1
20489536979,2022,HUANUCO,1,3
20489643627,2022,HUANUCO,1,1
20489680310,2022,HUANUCO,1,1
20489688647,2022,HUANUCO,1,1
20510591829,2022,HUANUCO,2,1
20528932321,2022,HUANUCO,1,1
20529286997,2022,HUANUCO,1,1
20531055722,2022,HUANUCO,2,2
20534004185,2022,HUANUCO,1,1
20534013508,2022,HUANUCO,2,1
20542408562,2022,HUANUCO,3,1
20573078897,2022,HUANUCO,2,1
20573140959,2022,HUANUCO,2,1
20573320779,2022,HUANUCO,1,1
20573333081,2022,HUANUCO,1,1
20600013255,2022,HUANUCO,1,1
20601263158,2022,HUANUCO,1,2
20603194676,2022,HUANUCO,1,2
20608077163,2022,HUANUCO,2,1
20610153021,2022,HUANUCO,1,1
20261295246,2022,ICA,1,1
20268887785,2022,ICA,1,2
20367759551,2022,ICA,1,1
20445575411,2022,ICA,1,1
20452371414,2022,ICA,1,1
20452457726,2022,ICA,1,1
20452468418,2022,ICA,1,1
20485988468,2022,ICA,1,1
20486753791,2022,ICA,2,1
20494263484,2022,ICA,2,1
20495031137,2022,ICA,1,1
20508326433,2022,ICA,2,1
20510711824,2022,ICA,1,1
20514444341,2022,ICA,1,1
20517562158,2022,ICA,2,2
20523386469,2022,ICA,1,3
20531659075,2022,ICA,1,1
20532002819,2022,ICA,1,2
20534393572,2022,ICA,1,1
20534749008,2022,ICA,1,1
20536704231,2022,ICA,1,2
20537169207,2022,ICA,2,1
20547282559,2022,ICA,2,1
20600472233,2022,ICA,2,1
20600689020,2022,ICA,1,1
20602258395,2022,ICA,1,1
20101884407,2022,JUNIN,1,2
20452440912,2022,JUNIN,1,2
20486573113,2022,JUNIN,1,1
20486975939,2022,JUNIN,1,2
20489517320,2022,JUNIN,1,2
20501430669,2022,JUNIN,1,1
20514014419,2022,JUNIN,1,1
20529104988,2022,JUNIN,1,1
20547097069,2022,JUNIN,1,3
20574732400,2022,JUNIN,1,1
20574750301,2022,JUNIN,1,2
20600192087,2022,JUNIN,1,1
20600696654,2022,JUNIN,1,1
20601143021,2022,JUNIN,1,2
20602371442,2022,JUNIN,3,2
20603476400,2022,JUNIN,1,3
20144691173,2022,LA LIBERTAD,1,3
20205328662,2022,LA LIBERTAD,1,1
20326387593,2022,LA LIBERTAD,2,1
20355337619,2022,LA LIBERTAD,1,2
20397595782,2022,LA LIBERTAD,1,1
20440439129,2022,LA LIBERTAD,1,1
20461642706,2022,LA LIBERTAD,1,1
20477304908,2022,LA LIBERTAD,2,1
20477458883,2022,LA LIBERTAD,2,1
20481188955,2022,LA LIBERTAD,1,1
20481456712,2022,LA LIBERTAD,1,1
20481475342,2022,LA LIBERTAD,1,1
20481561265,2022,LA LIBERTAD,2,1
20481728062,2022,LA LIBERTAD,1,1
20481791422,2022,LA LIBERTAD,1,1
20481871027,2022,LA LIBERTAD,1,1
20481966672,2022,LA LIBERTAD,1,1
20482093354,2022,LA LIBERTAD,1,1
20482247921,2022,LA LIBERTAD,1,1
20482261168,2022,LA LIBERTAD,1,1
20482644253,2022,LA LIBERTAD,1,1
20482840516,2022,LA LIBERTAD,1,1
20484228451,2022,LA LIBERTAD,1,1
20494784450,2022,LA LIBERTAD,1,1
20502322711,2022,LA LIBERTAD,1,1
20523386469,2022,LA LIBERTAD,1,3
20529656751,2022,LA LIBERTAD,3,1
20529698918,2022,LA LIBERTAD,1,2
20530147127,2022,LA LIBERTAD,1,2
20531309091,2022,LA LIBERTAD,1,1
20538913571,2022,LA LIBERTAD,1,1
20542191059,2022,LA LIBERTAD,1,2
