id_contrato,ruc,gore,fecha,anio,monto_contrato
3813,20539094930,LA LIBERTAD,07/01/2021,2021,79000.0
3811,20539094930,LA LIBERTAD,08/01/2021,2021,52550.0
3812,20539094930,LA LIBERTAD,08/01/2021,2021,78500.0
3804,20539094930,LA LIBERTAD,25/05/2021,2021,7682448.73
3808,20544771478,LA LIBERTAD,07/04/2021,2021,12596739.28
3809,20544771478,LA LIBERTAD,07/04/2021,2021,14746308.36
3803,20559687643,LA LIBERTAD,18/06/2021,2021,150000.0
3798,20603089619,LA LIBERTAD,18/10/2021,2021,17308704.11
3807,20603716176,LA LIBERTAD,11/05/2021,2021,11031463.21
3795,20606525690,LA LIBERTAD,29/12/2021,2021,717884.06
3798,99000028271,LA LIBERTAD,18/10/2021,2021,17308704.11
4094,20348938704,LAMBAYEQUE,13/07/2021,2021,18642037.91
4096,20353947614,LAMBAYEQUE,28/06/2021,2021,15622437.48
4095,20353947614,LAMBAYEQUE,13/07/2021,2021,28596771.76
4090,20409234462,LAMBAYEQUE,04/08/2021,2021,4993121.07
4092,20479892998,LAMBAYEQUE,16/07/2021,2021,316694.32
4098,20480403496,LAMBAYEQUE,08/04/2021,2021,3315145.47
4099,20480686692,LAMBAYEQUE,07/04/2021,2021,4070465.37
4089,20481813841,LAMBAYEQUE,05/08/2021,2021,7766136.45
4097,20487913791,LAMBAYEQUE,17/05/2021,2021,17271472.54
4070,20487950301,LAMBAYEQUE,19/03/2021,2021,4086576.49
4100,20487950301,LAMBAYEQUE,30/03/2021,2021,2380160.07
4091,20505655215,LAMBAYEQUE,04/08/2021,2021,7461715.64
4088,20526193513,LAMBAYEQUE,16/09/2021,2021,6815785.22
4097,20545316561,LAMBAYEQUE,17/05/2021,2021,17271472.54
4093,20561274968,LAMBAYEQUE,16/07/2021,2021,369344.98
4090,20568161786,LAMBAYEQUE,04/08/2021,2021,4993121.07
4070,20602235352,LAMBAYEQUE,19/03/2021,2021,4086576.49
4093,20602922368,LAMBAYEQUE,16/07/2021,2021,369344.98
4677,20231662244,LIMA,30/04/2021,2021,1580777.11
4678,20407917104,LIMA,25/03/2021,2021,9829308.2
4673,20407917104,LIMA,29/09/2021,2021,8630713.19
4676,20408135517,LIMA,21/06/2021,2021,3552648.29
4673,20445200019,LIMA,29/09/2021,2021,8630713.19
4679,20494682703,LIMA,18/02/2021,2021,889609.1
4678,20523386469,LIMA,25/03/2021,2021,9829308.2
4677,20532064768,LIMA,30/04/2021,2021,1580777.11
4672,20533990615,LIMA,29/10/2021,2021,3431360.0
4674,20534094079,LIMA,10/09/2021,2021,1525881.21
4672,20541653156,LIMA,29/10/2021,2021,3431360.0
4676,20600386981,LIMA,21/06/2021,2021,3552648.29
4675,20600721179,LIMA,09/09/2021,2021,4369691.94
4671,20600721179,LIMA,21/12/2021,2021,4369691.94
4675,20602076882,LIMA,09/09/2021,2021,4369691.94
4671,20602076882,LIMA,21/12/2021,2021,4369691.94
4676,20603550677,LIMA,21/06/2021,2021,3552648.29
4673,20603550677,LIMA,29/09/2021,2021,8630713.19
4672,20607462403,LIMA,29/10/2021,2021,3431360.0
5152,10053878488,LORETO,19/11/2021,2021,1099074.83
