DEPARTAMENTO,FECHA,EMPRESA_1,EMPRESA_2,EMPRESA_3,EMPRESA_4,EMPRESA_5,EMPRESA_6,EMPRESA_7,EMPRESA_8,EMPRESA_9,MONTO
AMAZONAS,27/10/2022,20487499685,20480134142,,,,,,,,"996,580.74"
AMAZONAS,04/10/2022,20479764728,20608056026,,,,,,,,"296,470.00"
AMAZONAS,04/08/2022,20572141986,,,,,,,,,"2,125,000.00"
AMAZONAS,19/07/2022,20487818535,20601832811,,,,,,,,"250,795.96"
AMAZONAS,05/07/2022,20480188404,20480427913,,,,,,,,"7,372,300.00"
AMAZONAS,04/07/2022,20602979173,,,,,,,,,"150,579,197.58"
AMAZONAS,15/06/2022,20600504500,20479764728,,,,,,,,"443,706.31"
AMAZONAS,14/06/2022,20602979173,,,,,,,,,"122,415,156.59"
AMAZONAS,10/06/2022,20495136231,20487419754,,,,,,,,"5,763,345.05"
AMAZONAS,08/06/2022,20608518763,20487980634,,,,,,,,"767,188.56"
AMAZONAS,08/06/2022,20600542525,20479764728,,,,,,,,"1,235,773.34"
AMAZONAS,28/03/2022,20450326713,20450186440,,,,,,,,"8,410,000.00"
AMAZONAS,22/01/2024,20480427913,20600040040,,,,,,,,"1,460,000.00"
AMAZONAS,20/12/2023,20480833822,20480836252,,,,,,,,"3,218,626.00"
AMAZONAS,20/12/2023,20480833822,,,,,,,,,"2,735,000.00"
AMAZONAS,20/12/2023,20480836252,20480833822,,,,,,,,"3,295,000.00"
AMAZONAS,19/12/2023,20480134142,20487499685,,,,,,,,"5,122,828.57"
AMAZONAS,06/12/2023,20480791305,20487499685,,,,,,,,"918,169.39"
AMAZONAS,06/12/2023,20487499685,20525333923,,,,,,,,"8,600,000.00"
AMAZONAS,06/12/2023,20561152005,20479683728,,,,,,,,"10,929,000.00"
AMAZONAS,05/12/2023,20480791305,20601832811,,,,,,,,"2,221,112.46"
AMAZONAS,27/11/2023,20488077717,20479572659,,,,,,,,"5,196,327.98"
AMAZONAS,27/11/2023,20480836252,20480550871,,,,,,,,"425,918.95"
AMAZONAS,16/11/2023,20600398700,20480123884,,,,,,,,"2,978,510.04"
AMAZONAS,06/11/2023,20494535409,20480167407,,,,,,,,"1,510,419.00"
AMAZONAS,03/11/2023,20480836252,20606125969,,,,,,,,"10,633,826.00"
AMAZONAS,26/10/2023,20480123884,20539009096,,,,,,,,"1,138,138.85"
AMAZONAS,20/10/2023,20487499685,20600143051,,,,,,,,"11,351,472.44"
AMAZONAS,13/10/2023,20494101662,20488077717,,,,,,,,"11,834,887.34"
AMAZONAS,12/10/2023,20561415707,20480791305,,,,,,,,"466,509.70"
AMAZONAS,12/10/2023,20480059850,,,,,,,,,"717,980.08"
AMAZONAS,01/09/2023,20479683728,20480059850,,,,,,,,"28,731,320.13"
AMAZONAS,18/08/2023,20539201281,20485848372,,,,,,,,"1,951,140.95"
AMAZONAS,10/08/2023,20601832811,20480791305,,,,,,,,"3,304,348.64"
